



RECORD



standard_train(vgg19,opt_vgg19,scheduler_vgg19,description='vgg19')
epoch:1, train accuracy:0.2366, train loss:1.957, test accuracy:0.307 
epoch:2, train accuracy:0.3817, train loss:1.595, test accuracy:0.4162 
epoch:3, train accuracy:0.5019, train loss:1.359, test accuracy:0.5284 
epoch:4, train accuracy:0.5896, train loss:1.142, test accuracy:0.6082 
epoch:5, train accuracy:0.6536, train loss:0.9863, test accuracy:0.6668 
epoch:6, train accuracy:0.7064, train loss:0.8648, test accuracy:0.6877 
epoch:7, train accuracy:0.7442, train loss:0.763, test accuracy:0.7021 
epoch:8, train accuracy:0.7699, train loss:0.7009, test accuracy:0.7661 
epoch:9, train accuracy:0.7944, train loss:0.6323, test accuracy:0.7588 
epoch:10, train accuracy:0.8124, train loss:0.5811, test accuracy:0.8036 
epoch:11, train accuracy:0.8289, train loss:0.5318, test accuracy:0.7708 
epoch:12, train accuracy:0.8391, train loss:0.5028, test accuracy:0.8169 
epoch:13, train accuracy:0.85, train loss:0.4667, test accuracy:0.7389 
epoch:14, train accuracy:0.8593, train loss:0.4422, test accuracy:0.7593 
epoch:15, train accuracy:0.8678, train loss:0.4152, test accuracy:0.804 
epoch:16, train accuracy:0.874, train loss:0.3962, test accuracy:0.8536 
epoch:17, train accuracy:0.8839, train loss:0.3666, test accuracy:0.8356 
epoch:18, train accuracy:0.8883, train loss:0.3518, test accuracy:0.8503 
epoch:19, train accuracy:0.8906, train loss:0.3442, test accuracy:0.831 
epoch:20, train accuracy:0.8995, train loss:0.3199, test accuracy:0.8289 
epoch:21, train accuracy:0.9031, train loss:0.304, test accuracy:0.8603 
epoch:22, train accuracy:0.9068, train loss:0.2901, test accuracy:0.8445 
epoch:23, train accuracy:0.9151, train loss:0.2678, test accuracy:0.8587 
epoch:24, train accuracy:0.919, train loss:0.2546, test accuracy:0.8442 
epoch:25, train accuracy:0.9218, train loss:0.2496, test accuracy:0.8555 
epoch:26, train accuracy:0.9252, train loss:0.2385, test accuracy:0.8567 
epoch:27, train accuracy:0.9292, train loss:0.2227, test accuracy:0.8724 
epoch:28, train accuracy:0.9297, train loss:0.219, test accuracy:0.8599 
epoch:29, train accuracy:0.9323, train loss:0.2091, test accuracy:0.8754 
epoch:30, train accuracy:0.9372, train loss:0.1936, test accuracy:0.8618 
epoch:31, train accuracy:0.9401, train loss:0.1871, test accuracy:0.8709 
epoch:32, train accuracy:0.9424, train loss:0.1802, test accuracy:0.863 
epoch:33, train accuracy:0.9449, train loss:0.1711, test accuracy:0.8687 
epoch:34, train accuracy:0.9482, train loss:0.1617, test accuracy:0.8615 
epoch:35, train accuracy:0.9496, train loss:0.1612, test accuracy:0.87 
epoch:36, train accuracy:0.9525, train loss:0.1524, test accuracy:0.873 
epoch:37, train accuracy:0.953, train loss:0.1489, test accuracy:0.8613 
epoch:38, train accuracy:0.9545, train loss:0.1421, test accuracy:0.8773 
epoch:39, train accuracy:0.9553, train loss:0.1395, test accuracy:0.8604 
epoch:40, train accuracy:0.9576, train loss:0.1318, test accuracy:0.8761 
epoch:41, train accuracy:0.9578, train loss:0.1344, test accuracy:0.8733 
epoch:42, train accuracy:0.958, train loss:0.13, test accuracy:0.8796 
epoch:43, train accuracy:0.9587, train loss:0.1278, test accuracy:0.8915 
epoch:44, train accuracy:0.9618, train loss:0.1159, test accuracy:0.8742 
epoch:45, train accuracy:0.9633, train loss:0.1145, test accuracy:0.8826 
epoch:46, train accuracy:0.9648, train loss:0.1142, test accuracy:0.8847 
epoch:47, train accuracy:0.9658, train loss:0.1067, test accuracy:0.8821 
epoch:48, train accuracy:0.9645, train loss:0.109, test accuracy:0.8828 
epoch:49, train accuracy:0.965, train loss:0.1088, test accuracy:0.8769 
epoch:50, train accuracy:0.9678, train loss:0.09863, test accuracy:0.8863 
epoch:51, train accuracy:0.9692, train loss:0.0982, test accuracy:0.8713 
epoch:52, train accuracy:0.9714, train loss:0.09059, test accuracy:0.882 
epoch:53, train accuracy:0.9696, train loss:0.0952, test accuracy:0.8913 
epoch:54, train accuracy:0.9688, train loss:0.09706, test accuracy:0.8719 
epoch:55, train accuracy:0.9728, train loss:0.08732, test accuracy:0.8896 
epoch:56, train accuracy:0.9739, train loss:0.08459, test accuracy:0.8723 
epoch:57, train accuracy:0.9719, train loss:0.08813, test accuracy:0.8806 
epoch:58, train accuracy:0.9739, train loss:0.08072, test accuracy:0.8849 
epoch:59, train accuracy:0.9747, train loss:0.07991, test accuracy:0.8827 
epoch:60, train accuracy:0.9742, train loss:0.0804, test accuracy:0.8687 
epoch:61, train accuracy:0.9773, train loss:0.07482, test accuracy:0.8645 
epoch:62, train accuracy:0.9752, train loss:0.07806, test accuracy:0.8834 
epoch:63, train accuracy:0.9745, train loss:0.0807, test accuracy:0.8923 
epoch:64, train accuracy:0.9759, train loss:0.07669, test accuracy:0.8899 
epoch:65, train accuracy:0.9772, train loss:0.07109, test accuracy:0.8866 
epoch:66, train accuracy:0.9765, train loss:0.07411, test accuracy:0.8859 
epoch:67, train accuracy:0.978, train loss:0.07014, test accuracy:0.8851 
epoch:68, train accuracy:0.9779, train loss:0.07093, test accuracy:0.8893 
epoch:69, train accuracy:0.9784, train loss:0.06886, test accuracy:0.8865 
epoch:70, train accuracy:0.9793, train loss:0.06688, test accuracy:0.893 
epoch:71, train accuracy:0.9758, train loss:0.07401, test accuracy:0.8764 
epoch:72, train accuracy:0.9773, train loss:0.07254, test accuracy:0.8885 
epoch:73, train accuracy:0.9795, train loss:0.06539, test accuracy:0.8837 
epoch:74, train accuracy:0.9794, train loss:0.06632, test accuracy:0.882 
epoch:75, train accuracy:0.9794, train loss:0.06367, test accuracy:0.8741 
epoch:76, train accuracy:0.9806, train loss:0.06146, test accuracy:0.8882 
epoch:77, train accuracy:0.9782, train loss:0.06968, test accuracy:0.8952 
epoch:78, train accuracy:0.9808, train loss:0.0616, test accuracy:0.8821 
epoch:79, train accuracy:0.9803, train loss:0.0613, test accuracy:0.8886 
